time_since_launch,orbital_altitude,battery_voltage,solar_panel_temperature,attitude_control_error,data_transmission_rate,thermal_control_status,satellite_health
3174,1827.2039677850312,28.633451045230608,-13.07455258,1.5533135703410084,10.600079063614327,0,1
3507,1290.5664491427908,21.59164738088654,-15.56862213,2.593412264827168,47.291053567549504,1,0
860,510.9825251134216,20.15088030210695,28.70922974503276,2.680356619355009,33.734476259161866,1,0
1294,506.40533935845264,24.93183915990351,24.760466788437824,3.8539896930368327,86.47628979,1,0
1130,1525.9250075066002,24.32102897411628,-49.53996971,2.5893449704290394,35.84132498106753,0,1
1095,612.4339307,25.519012184951723,-20.36184765,3.028687003102553,58.94609262202432,1,1
3092,858.2553493482291,28.332217713715004,12.366364778532557,3.766640253804558,76.62425033775348,1,1
1638,1128.2604117672536,28.02360550982478,-37.9734378,0.5056600233997266,54.75072465696668,1,1
2169,342.1002919,21.00043284430011,-42.88017055,4.817360617624847,46.93622947171951,1,0
466,722.9923459338842,29.33995366676674,32.83981194984817,4.23152088,13.826620446068,0,0
1238,993.412334462376,21.104143946744447,-4.731572783,1.9438630681155349,12.063895187921355,0,0
330,775.3817414384506,26.34570508534236,35.568736792085346,3.6420879453687167,96.15899755513352,0,1
1482,531.8295566948619,26.72406293595576,32.35527271765656,3.811625522043733,67.89196517501964,0,0
2135,1537.6208382535356,26.79877487223088,39.33705221405856,4.251232247078284,84.27284184783426,0,0
3444,1682.3510137855744,22.653511716753908,-45.17254364,0.9415841256702606,53.23945440023592,0,1
3171,737.7142594443322,23.30345091764992,-31.38699339,3.518513763219013,33.54228965538539,1,0
2919,1616.5131408307157,25.48676875149397,-20.38568356,0.166702652631418,36.50840017839099,1,1
130,955.4410594822336,21.995874958000982,-36.37696122,0.5778956202694069,13.914245665533407,0,0
1685,1161.3658444518046,20.20310467833352,-1.453017921,3.880334802327519,81.17951646956936,1,0
3380,1755.2018273183598,25.62144454508576,29.897689003905853,4.065015019408797,62.341370262854696,1,0
769,1574.9212590640934,24.65278572012007,45.11818108497046,2.962182260622823,53.27215991995855,0,0
2391,1668.6986472375022,26.56731206223462,38.95741345,2.9084298709194862,86.70673402,1,1
1515,532.6367831968066,21.4670057583366,-4.266331998,3.747557141839648,50.03605248643744,0,0
3485,418.5230239173401,28.409248945898515,13.64911013709522,4.530424110443508,95.31371349,1,1
2853,1818.788039449578,21.46221488460528,-26.93038766,2.1055758543381486,11.19128764442146,0,0
2433,959.3182582708604,28.91343604880024,-9.699100007,0.5741055930367411,98.615472504598,0,1
1215,789.3954527184574,24.49521172595703,37.11825954,4.194996922,83.42951792025761,0,0
955,1531.9836322451015,25.498052593726943,-47.0802478,1.7082207298537648,41.94452819582051,1,1
2324,1721.9065141857564,28.96581335963989,3.2759272643474304,0.6689288660529519,63.58272041067239,1,1
1184,1766.2323572271116,22.99913048477067,37.27982978990213,3.073082000714157,87.81445109397279,1,0
459,837.1951399128865,21.81826996241152,-37.79901261,2.8904196260584483,53.3438517772428,1,0
3385,1748.7610650428458,24.457516208194537,48.2546201951122,2.3712310325119432,14.59447408,0,0
21,369.5877054363872,22.443672285277067,-48.7608536,4.298986221235794,91.33264739880036,0,1
2300,384.42453548152207,25.27843911540317,38.61200114631643,1.3611291770168394,56.53146221898001,1,0
747,1359.9826317960626,22.752578644443165,-14.63274256,0.066176326,59.06415170813872,1,1
2904,407.2808274964286,28.644895355954567,-36.73094183,1.617343595,11.234635902882122,1,1
3632,851.8355864672747,26.073245922577257,-34.26418247,0.048529802,19.00594629491512,0,1
474,1443.6851766197708,20.002406697429024,20.11787183542708,2.7179560544841963,79.9658061,1,0
1082,873.3537232921848,28.054737346798248,37.071967665594414,1.891241464,49.14544138073034,0,1
2558,605.3196284,23.30212336726146,14.106635380678796,4.069713704,99.82524815901678,1,0
2047,778.2960571515307,23.20207984154957,42.872497136075296,3.987926762454088,72.61099081419741,1,0
3547,1077.878064825734,23.83062812134468,34.24787950568991,2.1731924664933184,95.46410299518244,1,0
2747,1108.155954,26.302625280840807,-49.09681931,1.082426367929115,35.141691499324224,1,1
975,1631.1003932902431,24.42060710394223,16.942966443013475,2.1121493297114853,25.85382085467689,0,0
1806,1575.2604900335714,26.286355465697024,-19.53653113,3.206588662718146,43.89304829324833,0,1
189,1076.59026774543,21.46780721635792,-4.549998828,0.9510299078645368,33.829169095439255,0,0
3005,1737.6344934679114,29.70164464524085,-40.59692519,3.8652330778515145,65.20291124863657,0,1
2734,494.20313560537295,27.29606287083864,-21.79008381,1.6528010521763692,76.99978415895077,0,1
3005,734.1006953891325,22.50207107178383,13.268596743250749,4.660884974587046,46.18877616480995,1,0
562,1707.5599879538277,27.24169908074776,-28.16178697,2.55935265137304,18.0861424149988,1,1
1899,942.5898656644604,25.750254562616394,14.753666827119304,4.235632670648611,12.36987653175708,1,0
